Event Date,Name,Location,Compute Resources,Description,Event Lead,Event Lead/Organizer,Team Members,Other Team members,Event Type,Funding,Last edited time,Related Projects,Status,Your Name
"November 19, 2025","Philips excursion November 19, 2025","222 Jacobs street , Cambridge",,"Presentation of LLM projects with specificity on data embedding, analysis and machine learning : 
-MIT Critical Data by Leo (10 minutes)
-Vector embeddings & eICU transformer model by Takeshi (5 minutes)
-LAB-MAE by Boya (5 minutes)
-M3 by Hannes (5 minutes)",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),"Phillips  &  Leo Celi ",Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),"Francesca, Boya Zhang, Tiger Krittaphas, Jacob Ellen, Laurine, Marlene, Ryo Hei, Shishuo, Takeshi, Luis H Ortiz, Hannes, Ricardo Kleinlein, Norman Pedersen, Jesse Raffa","Lab Meeting, Meeting",,"March 3, 2026 2:24 PM",,Completed,Sebastien L Emile
"January 15, 2026",AI as a Catalyst,MIT,,,,,,,Workshop,,"March 3, 2026 1:32 PM",,Completed,Boya Zhang
"February 26, 2026",Brown 2026,,,,,,,,,,"March 3, 2026 1:31 PM",,In planning,Boya Zhang
"February 26, 2026",Brown datathon,Brown university,Unnecessary,Datathon for high school students,,Dr. Kathryn Jessen Eller,,MIT critical team,Datathon,From host,"March 3, 2026 1:31 PM",,In planning,Takeshi Tohyama
"March 19, 2026",Brown University DSAIY AI-a-Thon,"Brown University: 225 Dyer St. Providence, RI",,"The AI-a-thon brings together high school students, teachers, data scientists, and healthcare professionals for a hands-on, collaborative experience exploring how artificial intelligence is used in healthcare. Working in cross-disciplinary teams, participants tackle real-world activities that reveal how AI works, where it can go wrong, and why bias, accuracy, and verification matter. Just as importantly, the event centers youth voices, inviting students to share what they think about AI and how it may shape their futures, communities, and careers. March 19-20th, 2025",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),kathryn Jessen Eller & Leo Celi,"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21), Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21)","Ahram Han, Boya Zhang, Laurine, Marlene, Takeshi, Ryo Hei, Rawan, Raul, Tiger Krittaphas, Taha, Mackenzie Meni, Sonya, Evan, Hannes, Rahul ","Datathon, Workshop","MIT , Brown University ","March 3, 2026 2:24 PM",,In planning,Sebastien L Emile
"March 23, 2026 → March 25, 2026",AMA 2026,"Chicago, IL",,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,,,,,"March 24, 2026 10:39 AM",,In progress,
"March 27, 2026","Meeting with Rifat Atun and his lab ",Harvard Chan School of Public Health,"Non applicable ","We’re meeting with prof Arun and his lab members to discuss ideas and potential collaborations ",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Laurine/Leo/Rifat,,"LCP Lab members ",Meeting,"Non applicable ","March 3, 2026 2:22 PM",,In planning,Laurine Sprehe
"March 29, 2026 → March 30, 2026",Quebec,Quebec,,,Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,,,,,"March 24, 2026 10:40 AM",,Not confirmed,
"April 9, 2026",Mayo Datathon 2026 MIT,,,,,,,,Datathon,,"March 3, 2026 1:31 PM",,In planning,Boya Zhang
"April 10, 2026 → April 12, 2026",Mayo Clinic Florida,Florida,,,,,,,,,"March 24, 2026 10:40 AM",,Not confirmed,
