Name,Compute Resources,Description,Event Date,Event Lead,Event Lead/Organizer,Event Type,Funding,Last edited by,Last edited time,Location,Other Team members,Related Projects,Status,Team Members,Your Name
Brown datathon,Unnecessary,Datathon for high school students,"February 26, 2026",,Dr. Kathryn Jessen Eller,Datathon,From host,Ken,"March 3, 2026 1:31 PM",Brown university,MIT critical team,,In planning,,Takeshi Tohyama
Mayo Datathon,,Datathon in Mayo clinic,"April 10, 2026",,Anirban,Datathon,Host,Ken,"March 3, 2026 1:31 PM","Jacksonville, FL","Ahram, Chrystinne",,Not confirmed,,Takeshi Tohyama
AI as a Catalyst,,,"January 15, 2026",,,Workshop,,Ken,"March 3, 2026 1:32 PM",MIT,,,Completed,,Boya Zhang
Brown 2026,,,"February 26, 2026",,,,,Ken,"March 3, 2026 1:31 PM",,,,In planning,,Boya Zhang
Mayo Datathon 2026 MIT,,,"April 9, 2026",,,Datathon,,Ken,"March 3, 2026 1:31 PM",,,,In planning,,Boya Zhang
"Meeting with Rifat Atun and his lab ","Non applicable ","We’re meeting with prof Arun and his lab members to discuss ideas and potential collaborations ","March 27, 2026",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Laurine/Leo/Rifat,Meeting,"Non applicable ",Ken,"March 3, 2026 2:22 PM",Harvard Chan School of Public Health,"LCP Lab members ",,In planning,,Laurine Sprehe
TBD: Australia Health AI Event Series,TBD,"We are writing to invite your support for a groundbreaking series of Health AI workshops across Australia that will reimagine how artificial intelligence is developed, validated, and deployed in healthcare. These workshops will combine technical skill-building (LLM-a-thons, Health AI Systems Thinking for Equity sessions) with critical reflection on AI's societal impacts, centering voices typically excluded from technology development: First Nations communities, youth, patients, multicultural populations, and rural/remote practitioners. Rather than imposing solutions, our approach emphasizes co-design and participatory innovation, building agency and capacity within communities most affected by AI deployment while addressing urgent challenges like healthcare workforce shortages, data sovereignty, climate impacts on health, and algorithmic bias.

The workshops address a critical gap as private AI companies increasingly shape Australia's health systems with minimal attention to ethics, equity, or community values. The event will bring together diverse stakeholders—from Aboriginal and Torres Strait Islander elders and youth to clinicians, computer scientists, medical students, bioethicists, and digital health researchers—to examine concrete questions: How do we safeguard against bias in clinical algorithms? What does data sovereignty mean for First Nations communities? How can AI support rather than displace rural healthcare access? What guardrails prevent unintended harms? By starting with reflection and reimagination before technical implementation, and by training youth as ""double agents"" who can navigate existing power structures while plotting transformative alternatives, we aim to ensure that Australia's AI future is shaped through us, not done to us. We seek support for venues, catering, participant stipends (particularly for community members who would otherwise lose wages), and materials. Your sponsorship would directly enable communities to claim their seat at the table where AI's future in Australian healthcare is being decided.",,,Multiple people: Group chat with people from multiple Australian states,,TBD,Ken,"March 3, 2026 1:31 PM",Australia,,,Not confirmed,,Saleem Ameen
"Philips excursion November 19, 2025",,"Presentation of LLM projects with specificity on data embedding, analysis and machine learning : 
-MIT Critical Data by Leo (10 minutes)
-Vector embeddings & eICU transformer model by Takeshi (5 minutes)
-LAB-MAE by Boya (5 minutes)
-M3 by Hannes (5 minutes)","November 19, 2025",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),"Phillips  &  Leo Celi ","Lab Meeting, Meeting",,Ken,"March 3, 2026 2:24 PM","222 Jacobs street , Cambridge","Francesca, Boya Zhang, Tiger Krittaphas, Jacob Ellen, Laurine, Marlene, Ryo Hei, Shishuo, Takeshi, Luis H Ortiz, Hannes, Ricardo Kleinlein, Norman Pedersen, Jesse Raffa",,Completed,Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21),Sebastien L Emile
Brown University DSAIY AI-a-Thon,,"The AI-a-thon brings together high school students, teachers, data scientists, and healthcare professionals for a hands-on, collaborative experience exploring how artificial intelligence is used in healthcare. Working in cross-disciplinary teams, participants tackle real-world activities that reveal how AI works, where it can go wrong, and why bias, accuracy, and verification matter. Just as importantly, the event centers youth voices, inviting students to share what they think about AI and how it may shape their futures, communities, and careers. March 19-20th, 2025","March 19, 2026",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),kathryn Jessen Eller & Leo Celi,"Datathon, Workshop","MIT , Brown University ",Ken,"March 3, 2026 2:24 PM","Brown University: 225 Dyer St. Providence, RI","Ahram Han, Boya Zhang, Laurine, Marlene, Takeshi, Ryo Hei, Rawan, Raul, Tiger Krittaphas, Taha, Mackenzie Meni, Sonya, Evan, Hannes, Rahul ",,In planning,"Ahram Han (https://www.notion.so/Ahram-Han-318e4faff87f8121af18dd304596944a?pvs=21), Boya Zhang (https://www.notion.so/Boya-Zhang-318e4faff87f810aa3caff0f6c2210d0?pvs=21), Laurine Sprehe (https://www.notion.so/Laurine-Sprehe-318e4faff87f81d1802bcb1a03d089db?pvs=21), Marlene Louisa Moerig (https://www.notion.so/Marlene-Louisa-Moerig-318e4faff87f8183a1bbd9b8b557ce0f?pvs=21), Takeshi Tohyama (https://www.notion.so/Takeshi-Tohyama-318e4faff87f81e2a9adf4ac0de20d03?pvs=21)",Sebastien L Emile
Dublin Hackathon,,"MIT Critical data datathon ","September 26, 2026",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),Leo Celi,Datathon,Industry partners,Ken,"March 3, 2026 2:22 PM",Dublin,,,In planning,,Sebastian Cajas
AMA 2026,,,"March 23, 2026 → March 25, 2026",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,,,Ken,"March 24, 2026 10:39 AM","Chicago, IL",,,In progress,,
Quebec,,,"March 29, 2026 → March 30, 2026",Leo Anthony Celi (https://www.notion.so/Leo-Anthony-Celi-318e4faff87f80859b67c3ea21572d29?pvs=21),,,,Ken,"March 24, 2026 10:40 AM",Quebec,,,Not confirmed,,
Mayo Clinic Florida,,,"April 10, 2026 → April 12, 2026",,,,,Ken,"March 24, 2026 10:40 AM",Florida,,,Not confirmed,,
WCA 2026,,,"April 15, 2026 → April 19, 2026",,,,,Ken,"March 24, 2026 10:41 AM",Morocco,,,Not confirmed,,
CHOC,,,"April 29, 2026 → April 30, 2026",,,,,Ken,"March 24, 2026 10:41 AM","Irvine, CA",,,Not confirmed,,
Stanford,,,"May 1, 2026 → May 2, 2026",,,,,Ken,"March 24, 2026 10:42 AM","Stanford, CA",,,Not confirmed,,
MGB,,,"May 4, 2026",,,,,Ken,"March 24, 2026 10:43 AM","Boston, MA",,,Not confirmed,,
Hartford,,,"May 5, 2026",,,,,Ken,"March 24, 2026 10:43 AM","Hartford, CT",,,Not confirmed,,
Cincinnati,,,"May 7, 2026",,,,,Ken,"March 24, 2026 11:00 AM","Cincinnati, OH",,,Not confirmed,,
Hong Kong,,,"May 11, 2026 → May 13, 2026",,,,,Ken,"March 24, 2026 11:01 AM",Hong Kong,,,Not confirmed,,
MeHI’s AI Workshop for Primary,,,"May 29, 2026",,,,,Ken,"March 24, 2026 11:01 AM",,,,Not confirmed,,
Care Innovation Challenge (Boston),,,,,,,,Ken,"March 24, 2026 11:01 AM","Boston, MA",,,Not confirmed,,
China/Tibet,,,"June 12, 2026 → June 20, 2026",,,,,Ken,"March 24, 2026 11:02 AM","China, Tibet",,,Not confirmed,,
Dominican Republic,,,"June 26, 2026 → June 28, 2026",,,,,Ken,"March 24, 2026 11:02 AM",Dominican Republic,,,Not confirmed,,
Brazil,,,"July 27, 2026 → July 30, 2026",,,,,Ken,"March 24, 2026 11:03 AM",Brazil,,,Not confirmed,,
Toronto,,,"September 1, 2026",,,,,Ken,"March 24, 2026 11:04 AM",Toronto,,,Not confirmed,,
Ireland,,,"September 18, 2026 → September 19, 2026",,,,,Ken,"March 24, 2026 11:04 AM",Ireland,,,Not confirmed,,
Chile,,,"September 28, 2026 → September 30, 2026",,,,,Ken,"March 24, 2026 11:06 AM",Chile,,,Not confirmed,,
Korea,,,"October 15, 2026 → October 18, 2026",,,,,Ken,"March 24, 2026 11:08 AM","Seoul, Korea",,,Not confirmed,,
Turkey,,,"October 30, 2026 → November 1, 2026",,,,,Ken,"March 24, 2026 11:08 AM",Turkey,,,Not confirmed,,
AIMed,,,"November 10, 2026 → November 13, 2026",,,,,Ken,"March 24, 2026 11:09 AM","Orlando, FL",,,Not confirmed,,
Vancouver,,,"November 21, 2026 → November 22, 2026",,,,,Ken,"March 24, 2026 11:09 AM",Vancouver,,,Not confirmed,,
France,,,"December 4, 2026 → December 5, 2026",,,,,Ken,"April 14, 2026 11:27 AM",France,,,Not confirmed,,
India,,,"February 1, 2027 → February 9, 2027",,,,,Ken,"March 24, 2026 11:12 AM",India,,,Not confirmed,,
World Congress of Epidemiology,,,"August 31, 2027 → September 3, 2027",,,,,Ken,"March 24, 2026 11:13 AM",Colombia,,,Not confirmed,,
Mayo Clinic Florida,,,"April 2, 2027 → April 4, 2027",,,,,Ken,"April 14, 2026 11:27 AM",Florida,,,Not confirmed,,
HMS,,,"April 27, 2026",,,,,Ken,"April 14, 2026 11:27 AM",,,,Not confirmed,,
